Ticker,Company,CEO,Year,SEO Pay
NATR,"Nature's Sunshine Products, Inc.",Terrence Moorehead,2019,"$1,940,768"
CATY,Cathay General Bancorp,Pin Tai,2019,"$1,938,029"
LOCO,"El Pollo Loco Holdings, Inc.",Bernard Acoca,2019,"$1,936,501"
CMO,Capstead Mortgage Corporation,Phillip Reinsch,2019,"$1,934,066"
SASR,"Sandy Spring Bancorp, Inc.",Daniel Schrider,2019,"$1,929,461"
LOPE,"Grand Canyon Education, Inc.",Brian Mueller,2019,"$1,929,086"
FBK,FB Financial Corporation,Christopher Holmes,2019,"$1,928,469"
DDS,"Dillard's, Inc.",William II,2020,"$1,928,268"
WDR,"Waddell & Reed Financial, Inc.",Philip Sanders,2019,"$1,926,810"
KELYA,"Kelly Services, Inc.",Peter Quigley,2019,"$1,925,996"
ESQ,"Esquire Financial Holdings, Inc.",Andrew Sagliocca,2019,"$1,924,156"
RGR,"Sturm, Ruger & Company, Inc.",Christopher Killoy,2019,"$1,922,964"
RAPT,"Rapt Therapeutics, Inc.",Brian Wong,2019,"$1,920,077"
IMMU,"Immunomedics, Inc.",Usama Malik,2019,"$1,919,537"
VSTM,"Verastem, Inc.",Brian Stuglik,2019,"$1,917,194"
MRLN,Marlin Business Services Corp.,Jeffrey Hilzinger,2019,"$1,912,214"
WSFS,WSFS Financial Corporation,Rodger Levenson,2019,"$1,902,592"
PETQ,"PetIQ, Inc.",McCord Christensen,2019,"$1,898,013"
BFAM,"Bright Horizons Family Solutions, Inc.",Stephen Kramer,2019,"$1,895,577"
DSPG,"DSP Group, Inc.",Ofer Elyakim,2019,"$1,888,477"
NVEE,"NV5 Global, Inc.",Dickerson Wright,2019,"$1,880,534"
MNLO,"Menlo Therapeutics, Inc.",Steven Basta,2019,"$1,878,181"
GTT,"GTT Communications, Inc.",Richard Calder Jr.,2019,"$1,875,950"
CFRX,ContraFect Corp.,Roger Pomerantz,2019,"$1,875,608"
RECN,"Resources Connection, Inc.",Kate Duchene,2019,"$1,874,322"
HWKN,"Hawkins, Inc.",Patrick Hawkins,2020,"$1,873,926"
ORBC,ORBCOMM Inc.,Marc Eisenberg,2019,"$1,872,467"
PRTS,"U.S. Auto Parts Network, Inc.",Lev Peker,2019,"$1,871,053"
GSB,"GlobalSCAPE, Inc.",Robert Alpert,2019,"$1,866,748"
FCPT,"Four Corners Property Trust, Inc.",William Lenehan IV,2019,"$1,865,788"
ASPN,"Aspen Aerogels, Inc.",Donald Young,2019,"$1,859,611"
BSTC,Biospecifics Technologies Corp.,John Buchi,2019,"$1,855,119"
MEIP,"MEI Pharma, Inc.",Daniel Gold,2019,"$1,854,414"
CCF,Chase Corporation,Adam Chase,2019,"$1,854,086"
SGC,"Superior Group of Companies, Inc.",Michael Benstock,2019,"$1,852,647"
MG,"MISTRAS Group, Inc.",Dennis Bertolotti,2019,"$1,842,787"
SPNE,SeaSpine Holdings Corp.,Keith Valentine,2019,"$1,840,567"
DCOM,"Dime Community Bancshares, Inc.",Kenneth Mahon,2019,"$1,839,680"
WKHS,Workhorse Group Inc.,Duane Hughes,2019,"$1,839,573"
RES,"RPC, Inc.",Richard Hubbell,2019,"$1,830,757"
APOG,"Apogee Enterprises, Inc.",Joseph Puishys,2020,"$1,822,904"
AVRO,"Avrobio, Inc.",Geoff MacKay,2019,"$1,816,378"
MVBF,MVB Financial Corp.,Larry Mazza,2019,"$1,813,962"
OLP,"One Liberty Properties, Inc.",Patrick Callan Jr.,2019,"$1,813,001"
NBN,Northeast Bank,Richard Wayne,2019,"$1,812,316"
NHI,"National Health Investors, Inc.",Eric Mendelsohn,2019,"$1,808,513"
BXMT,"Blackstone Mortgage Trust, Inc.",Stephen Plavin,2019,"$1,808,500"
MCFT,"Mastercraft Boat Holdings, Inc.",Terry McNew,2019,"$1,807,530"
FPI,"Farmland Partners, Inc.",Paul Pittman,2019,"$1,803,894"
KRMD,"Repro-Med Systems, Inc.",Donald Pettigrew,2019,"$1,800,185"
ATLC,Atlanticus Holdings Corp.,David Hanna,2019,"$1,793,824"
HARP,"Harpoon Therapeutics, Inc.",Gerald McMahon,2019,"$1,793,263"
PFNX,Pfenex Inc.,Evert Schimmelpennink,2019,"$1,791,066"
HONE,"HarborOne Bancorp, Inc.",James Blake,2018,"$1,787,571"
MSEX,Middlesex Water Company,Dennis Doll,2019,"$1,781,910"
IIIN,"Insteel Industries, Inc.",H. Woltz III,2019,"$1,769,460"
SRCE,1st Source Corporation,Christopher Murphy,2019,"$1,769,152"
QADB,QAD Inc.,Anton Chilton,2020,"$1,766,630"
UEC,Uranium Energy Corp.,Amir Adnani,2019,"$1,764,661"
TBNK,Territorial Bancorp Inc.,Allan Kitagawa,2019,"$1,761,176"
FAST,Fastenal Company,Daniel Florness,2019,"$1,759,943"
NPTN,NeoPhotonics Corporation,Timothy Jenks,2019,"$1,757,935"
DIN,"Dine Brands Global, Inc.",Stephen Joyce,2019,"$1,753,758"
RESI,Front Yard Residential Corp.,George Ellison,2019,"$1,749,998"
MRSN,"Mersana Therapeutics, Inc.",Anna Protopapas,2019,"$1,739,795"
JCAP,"Jernigan Capital, Inc.",John Good,2019,"$1,735,917"
MTEM,"Molecular Templates, Inc.",Eric Poma,2019,"$1,733,738"
HLNE,"Hamilton Lane, Inc.",Mario Giannini,2019,"$1,733,033"
GALT,Galectin Therapeutics Inc.,Harold Shlevin,2018,"$1,730,815"
ASTE,"Astec Industries, Inc.",Barry Ruffalo,2019,"$1,729,876"
LQDA,"Liquidia Technologies, Inc.",Neal Fowler,2019,"$1,729,088"
ARDX,"Ardelyx, Inc.",Michael Raab,2019,"$1,728,922"
OSBC,"Old Second Bancorp, Inc.",James Eccher,2018,"$1,728,919"
HCKT,"The Hackett Group, Inc.",Ted Fernandez,2019,"$1,726,860"
RUBY,"Rubius Therapeutics, Inc.",Pablo Cagnoni,2019,"$1,721,130"
RCUS,"Arcus Biosciences, Inc.",Terry Rosen,2019,"$1,716,900"
FNHC,FedNat Holding Company,Michael Braun,2019,"$1,716,800"
MIME,Mimecast Limited,Peter Bauer,2019,"$1,715,468"
HMST,"HomeStreet, Inc.",Mark Mason,2019,"$1,714,117"
CDXC,ChromaDex Corporation,Robert Fried,2019,"$1,711,894"
MCY,Mercury General Corporation,Gabriel Tirador,2019,"$1,706,295"
FVCB,"FVCBankcorp, Inc.",David Pijor,2019,"$1,704,894"
FRME,First Merchants Corporation,Michael Rechin,2019,"$1,702,540"
ADMA,"ADMA Biologics, Inc.",Adam Grossman,2019,"$1,702,022"
CAI,"CAI International, Inc.",Victor Garcia,2019,"$1,699,767"
MCRI,"Monarch Casino & Resort, Inc.",John Farahi,2019,"$1,697,065"
MCB,Metropolitan Bank Holding Corp.,Mark DeFazio,2019,"$1,695,331"
HHC,The Howard Hughes Corporation,Paul Layne,2019,"$1,694,980"
ATP,Atlantic Power Corporation,James Moore Jr.,2019,"$1,693,215"
LIND,"Lindblad Expeditions Holdings, Inc.",Sven-Olof Lindblad,2019,"$1,688,648"
TARA,"Protara Therapeutics, Inc.",Timothy Noyes,2019,"$1,682,610"
AMZN,"Amazon.com, Inc.",Jeffrey Bezos,2019,"$1,681,840"
GTY,Getty Realty Corp.,Christopher Constant,2019,"$1,679,885"
OSTK,"Overstock.com, Inc.",Jonathan Johnson III,2019,"$1,678,357"
NXRT,"NexPoint Residential Trust, Inc.",James Dondero,2019,"$1,669,500"
NNI,"Nelnet, Inc.",Jeffrey Noordhoek,2019,"$1,666,479"
BMI,"Badger Meter, Inc.",Kenneth Bockhorst,2019,"$1,665,197"
CCNE,CNB Financial Corporation,Joseph Bower,2019,"$1,664,645"
BWB,"Bridgewater Bancshares, Inc.",Jerry Baack,2019,"$1,662,312"
ORA,"Ormat Technologies, Inc.",Isaac Angel,2019,"$1,660,687"
PLAB,"Photronics, Inc.",Peter Kirlin,2019,"$1,651,698"
MGTA,"Magenta Therapeutics, Inc.",Jason Gardner,2019,"$1,651,001"
RLGT,"Radiant Logistics, Inc.",Bohn Crain,2019,"$1,649,576"
OBNK,"Origin Bancorp, Inc.",Drake Mills,2019,"$1,647,587"
ORI,Old Republic International Corporation,Craig Smiddy,2019,"$1,646,775"
CLNE,Clean Energy Fuels Corp.,Andrew Littlefair,2019,"$1,644,993"
LMNR,Limoneira Company,Harold Edwards,2019,"$1,640,522"
HVT,"Haverty Furniture Companies, Inc.",Clarence Smith,2019,"$1,640,000"
SCCO,Southern Copper Corporation,Oscar Rocha,2019,"$1,639,870"
NDLS,Noodles & Co.,Dave Boennighausen,2019,"$1,630,469"
XGN,"Exagen, Inc.",Fortunato Rocca,2019,"$1,627,725"
ATRI,Atrion Corporation,David Battat,2019,"$1,626,061"
BMTC,Bryn Mawr Bank Corporation,Francis Leto,2019,"$1,621,174"
INBK,First Internet Bancorp,David Becker,2019,"$1,616,866"
QCRH,"QCR Holdings, Inc.",Larry Helling,2019,"$1,613,623"
GHM,Graham Corporation,James Lines,2020,"$1,612,434"
SNDX,"Syndax Pharmaceuticals, Inc.",Briggs Morrison,2019,"$1,612,004"
SYNA,Synaptics Incorporated,Alex Wong,2019,"$1,611,395"
IRET,Investors Real Estate Trust,Mark Decker Jr.,2019,"$1,609,755"
UFI,"Unifi, Inc.",Thomas Caudle,2019,"$1,609,072"
CLNC,"Colony Credit Real Estate, Inc.",Kevin Traenkle,2019,"$1,600,275"
ATHX,"Athersys, Inc.",Gil Bokkelen,2019,"$1,596,653"
PIRS,"Pieris Pharmaceuticals, Inc.",Stephen Yoder,2019,"$1,593,598"
SIGA,"SIGA Technologies, Inc.",Phillip Gomez,2019,"$1,591,350"
AVEO,"AVEO Pharmaceuticals, Inc.",Michael Bailey,2019,"$1,589,644"
LKFN,Lakeland Financial Corporation,David Findlay,2019,"$1,581,988"
BCLI,Brainstorm Cell Therapeutics Inc.,Chaim Lebovits,2018,"$1,578,870"
JRVR,James River Group Holdings Ltd.,J. Abram,2019,"$1,578,408"
ZNTL,"Zentalis Pharmaceuticals, Inc.",Anthony Sun,2019,"$1,577,882"
GSBC,"Great Southern Bancorp, Inc.",Joseph Turner,2019,"$1,577,521"
FCCY,1st Constitution Bancorp,Robert Mangano,2019,"$1,576,403"
MGPI,"MGP Ingredients, Inc.",Augustus Griffin,2019,"$1,568,011"
HOFT,Hooker Furniture Corporation,Paul Toms Jr.,2020,"$1,565,575"
EBSB,"Meridian Bancorp, Inc.",Richard Gavegnano,2019,"$1,560,358"
IDT,IDT Corporation,Samuel Jonas,2019,"$1,558,900"
STC,Stewart Information Services Corporation,Frederick Eppinger Jr.,2019,"$1,557,118"
